"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Quality Engineering","0","SauceDemo - Authentication","15","0","","0"
"0","Quality Engineering","0","Restful Booker (auth + CRUD)","18","0","","0"
"0","Quality Engineering","0","playwright.dev","6","0","","0"
"0","Quality Engineering","0","Countries GraphQL","9","0","","0"
"0","Quality Engineering","0","WCAG (axe-core)","3","0","","0"
"0","","0","","3","0","","0"
"0","Quality Engineering","0","SauceDemo - Checkout","3","0","","0"
